engagement_ratio,caption_length,hashtag_count,fft_max_freq,fft_max_amp,niche,label
0.19471588852696345,72,21,207.0,113583396.5082009,GRWM,High
0.18113357114546175,12,0,517.8000000000001,19414151.39500251,GRWM,High
0.12623925974884337,72,21,60.2,930742.2347883998,GRWM,High
0.07153846153846154,72,5,473.4,12666361.731378492,GRWM,High
0.08525,72,9,240.2,2035692.1206067845,GRWM,High
0.012772727272727272,61,2,222.0,34452726.442252725,GRWM,Low
0.11323076923076923,4,0,247.0,18804815.22793916,GRWM,High
0.07040909090909091,72,7,501.6,28684650.218695316,GRWM,High
0.08802602154909535,72,5,284.0,14475494.937353782,GRWM,High
0.0970873786407767,72,5,258.8,6531543.047861307,GRWM,High
0.081,72,12,353.0,14083952.389997032,GRWM,High
0.09941379310344828,72,5,480.4,16029458.620573752,GRWM,High
0.11053315994798439,72,6,87.4,196862560.53537923,GRWM,High
0.115,69,5,234.4,36699279.60310289,GRWM,High
0.08036548645000519,26,2,418.6,29775877.382484943,GRWM,High
0.013393548387096775,72,7,59.400000000000006,39291266.65996221,GRWM,Low
0.09837486457204767,72,7,41.0,84212690.44266675,GRWM,High
0.09375,72,6,440.4,42477846.075417675,GRWM,High
0.01508695652173913,72,8,555.4,20563267.431917716,GRWM,Low
0.09199469261388767,72,12,87.4,80574971.1357202,GRWM,High
0.11631612492033142,72,3,323.8,38831518.515954696,GRWM,High
0.10891089108910891,72,11,499.6,8189276.24365791,GRWM,High
0.10818181818181818,15,0,234.8,6957714.400825878,GRWM,High
0.09152288072018004,61,4,699.4000000000001,5341723.887172791,GRWM,High
0.09943181818181818,51,0,3221.8,80941109.3352335,GRWM,High
0.07713846153846154,66,5,310.40000000000003,13833927.088946676,GRWM,High
0.06944594594594594,60,5,123.2,50845094.08373472,GRWM,High
0.07531380753138076,71,1,650.2,25753610.786466267,GRWM,High
0.15046461758398857,4,0,598.4,12980165.813903678,GRWM,High
0.1234718826405868,48,0,449.0,33033643.114771493,GRWM,High
0.06338888888888888,22,0,31.0,237100038.6752865,GRWM,High
0.07851239669421488,72,9,119.4,44340254.258225545,GRWM,High
0.09643478260869565,72,4,43.6,351290463.0514726,GRWM,High
0.1340918325883787,72,5,87.4,21575873.74226717,GRWM,High
0.07122093023255814,72,8,52.2,68529089.56271958,GRWM,High
0.07340533672172808,70,5,74.0,102129289.2927864,GRWM,High
0.01647058823529412,72,5,43.2,519767597.7395861,GRWM,Low
0.11940298507462686,72,9,235.6,26375264.7689817,GRWM,High
