url,title,hashtags,views,likes,fft_max_freq,fft_max_amp
https://www.tiktok.com/@ootd/video/7573139290583010574,Oui! 🇫🇷 We love these outfits spotted in Paris! #ootd #fallfashion #p...,#ootd #fallfashion #parisian #style #trend,93900,7821,241.60000000000002,29707366.00671866
https://www.tiktok.com/@leanortizz/video/7547445649999007006,Little dance in my cutesy loungewear😊🩰✨#dance #loungewear #ootd #outf...,#dance #loungewear #ootd #outfitinspo #comfyclothes,2100000,209500,68.4,127796305.9116934
https://www.tiktok.com/@muse.123456789/video/7549050074949520653,#ootd ,#ootd,677900,25700,82.22612010386166,60108907.13656758
https://www.tiktok.com/@muse.123456789/video/7560693681443982647,#ootd ,#ootd,1500000,71000,265.55991381691615,41928866.79264749
https://www.tiktok.com/@anisiafromsprouts/video/7572787008838454541,ootd for dinner tonight 🥂#ootd #dinner ,#ootd #dinner,1800000,253700,54.400000000000006,56657559.09860283
https://www.tiktok.com/@its.anya.lacey/video/7542566961239035191,What a silly goose #outfit #jacket #sweater #ootd #cute ,#outfit #jacket #sweater #ootd #cute,3300000,37100,371.6,3609484.413693544
https://www.tiktok.com/@itsamyjordan/video/7574696917813316885,on a thursday #ootd #fyp ,#ootd #fyp,3628,630,31.400000000000002,110133888.21128847
https://www.tiktok.com/@evvrythingsrosie/video/7503208757468482838,awkwardly playing with my shoes #fyp #ootd #summeroutfits ,#fyp #ootd #summeroutfits,1600000,216700,33.2,105475931.7132736
https://www.tiktok.com/@duoerkilly/video/7571735229862284565,Lovin’ this shiny silver dress—feels so glamorous and fun. Just embra...,#ootdfashion #ootd #fashion #styleinspo #fashiontiktok,54100,1048,554.6,33780004.42374522
https://www.tiktok.com/@kunkunyun/video/7533573505686801686,"Too cute to be casual, too comfy to care 😇💖 #cutefit #ootdprincess #d...",#cutefit #ootdprincess #dressdiaries #softgirlenergy #styleinspo #ootdcheck #fyp #cutievibes #fashiontiktok #girlyglow,813400,16600,73.4,124528549.92645302
https://www.tiktok.com/@leanortizz/video/7572323233454705950,Skirts can be worn all year round🙂‍↕️✨#outfitideas #fashion #ootd #sk...,#outfitideas #fashion #ootd #skirt #outfit,876700,96700,86.0,98516491.2674945
https://www.tiktok.com/@zoettaaaa/video/7569257490580278550,#zaradress #OOTD #fitcheckgirl #outfitinspo ,#zaradress #OOTD #fitcheckgirl #outfitinspo,319100,21000,50.6,45332471.78556311
https://www.tiktok.com/@ootd/video/7568315566524550414,NYC girls know how to do fall outfits 😍 #ootd #fallaesthetic #cute #c...,#ootd #fallaesthetic #cute #casual #inspo,185000,6418,61.2,39688547.732726224
https://www.tiktok.com/@duoerkilly/video/7571100982357003540,Loving this shiny dress with cute white socks—such a fun mix of edgy ...,#ootdfashion #ootd #fashion #styleinspo #fashiontiktok,284100,18700,46.2,98828589.74009056
https://www.tiktok.com/@sweetteapea/video/7556819608959765815,thursday game day outfit check!!!😊🏈❤️ i love this outfit so much and ...,#fitcheck #outfitinspo #yay,37500,1229,40.0,16273361.845938614
https://www.tiktok.com/@j0y.s0phie/video/7570737828867476758,basic outfit #outfitideas #fitcheck #ootd #lipsync #ootdinspo ,#outfitideas #fitcheck #ootd #lipsync #ootdinspo,1100000,66700,50.2,55748741.95072147
https://www.tiktok.com/@leanortizz/video/7496597948726267178,Rate the outfit 1-10😊 #gdwm #grwm #girlyoutfit #outfitinspo #outfitid...,#gdwm #grwm #girlyoutfit #outfitinspo #outfitideas,2900000,288300,480.40000000000003,16029458.620573753
https://www.tiktok.com/@whatshame/video/7554418782240820510,Soft girl meets sea girl 💖💎 #OOTD #MermaidCore #SpringStyle #Colorful...,#OOTD #MermaidCore #SpringStyle #ColorfulFashion #softgirl,44500,512,77.0,268212103.14049128
https://www.tiktok.com/@beginningboutique/video/7574698504736574734,@sophadophaa in our 'Candie Yellow and Pink Tube Top' and 'Alora Yell...,#sopha #sophadopha #dance #ootd,812,90,439.40000000000003,67306300.63398103
https://www.tiktok.com/@mayrise_life/video/7563640891320159510,Unique Outfit Ideas That Turn Heads #UniqueOutfits #FashionInspo #OOT...,#UniqueOutfits #FashionInspo #OOTD #StyleTips #TrendyLooks,216800,3232,64.8,140355768.00148818
https://www.tiktok.com/@lusi_uk1/video/7568882717941697806,#ootd #ootdinspiration #viewsproblem #ootdfashion #OOTD ,#ootd #ootdinspiration #viewsproblem #ootdfashion #OOTD,137700,5658,69.0,56314916.98209044
https://www.tiktok.com/@leanortizz/video/7453923359403838763,Pinkalish outfit🎀✨🧸 #girlygdwm #grwminarush #grwm #gdwm #girlyoutfit ...,#girlygdwm #grwminarush #grwm #gdwm #girlyoutfit #comfycuteoutfit #outfitinspo,2200000,154900,501.6,28684650.218695316
https://www.tiktok.com/@lunarwave_45/video/7532068848804171021,#ootdinspiration #ootdfashion #OOTD ,#ootdinspiration #ootdfashion #OOTD,333100,5214,54.0,113342474.92912275
